corruption,severity,boxes,confidence,map,,,,,
gaussian_blur,4,10976,0.5436,0.149748744,,,,,
gaussian_blur,3,14754,0.558,0.215396759,,,,,
gaussian_blur,2,18527,0.5728,0.284629997,,,,,
gaussian_blur,5,5678,0.5085,0.064291801,,,,,
gaussian_blur,1,22159,0.5826,0.343397084,,,,,
contrast,1,20319,0.576,0.311422073,,,,,
contrast,5,1533,0.4526,0.030160449,,,,,
contrast,2,18480,0.5701,0.283173872,,,,,
contrast,3,14959,0.5608,0.229715775,,,,,
contrast,4,7712,0.5268,0.11327975,,,,,
motion_blur,3,11468,0.5458,0.137417063,,,,,
motion_blur,4,7642,0.5163,0.076938143,,,,,
motion_blur,5,5874,0.4933,0.052699846,,,,,
motion_blur,2,15723,0.5669,0.218560264,,,,,
motion_blur,1,19497,0.5795,0.288271317,,,,,
glass_blur,3,6716,0.5327,0.082750492,,,,,
glass_blur,4,5176,0.5174,0.059399985,,,,,
glass_blur,1,18527,0.5762,0.284458985,,,,,
glass_blur,5,4199,0.5047,0.044010022,,,,,
glass_blur,2,14869,0.5674,0.224379074,,,,,
impulse_noise,3,8501,0.5365,0.102090823,,,,,
impulse_noise,4,3303,0.506,0.034309954,,,,,
impulse_noise,5,681,0.4567,0.009471065,,,,min-b,impluse_noise
impulse_noise,2,11552,0.5478,0.147820923,,,,max-b,brightness
impulse_noise,1,15655,0.5598,0.22265879,,,,min-c,gaussian noise
spatter,4,12431,0.5508,0.185304534,,,,max-c,gausian blur
spatter,3,15615,0.5574,0.230522338,,,,min-m,impluse_noise
spatter,2,19054,0.5613,0.275985254,,,,max-m,brightness
spatter,5,8828,0.5309,0.125691589,,,,,
spatter,1,23478,0.5777,0.350709692,,,,,
brightness,3,21904,0.5776,0.32861564,,,,,
brightness,4,20786,0.5758,0.312335502,,,,,
brightness,1,23497,0.5796,0.352878436,,,,,
brightness,5,19535,0.5726,0.291564042,,,,,
brightness,2,22707,0.5797,0.341765404,,,,,
defocus_blur,2,17554,0.57,0.268359033,,,,,
defocus_blur,5,6849,0.5199,0.076622372,,,,,
defocus_blur,1,19441,0.5784,0.302202973,,,,,
defocus_blur,4,9696,0.5359,0.122210438,,,,,
defocus_blur,3,13302,0.5559,0.187386256,,,,,
shot_noise,3,9524,0.5383,0.113464977,,,,,
shot_noise,4,3903,0.5073,0.040118327,,,,,
shot_noise,5,1650,0.4673,0.017499274,,,,,
shot_noise,2,14132,0.5559,0.188064502,,,,,
shot_noise,1,18428,0.5659,0.263625844,,,,,
frost,4,12531,0.5553,0.172309293,,,,,
frost,3,13188,0.559,0.184115551,,,,,
frost,1,19622,0.5734,0.296127896,,,,,
frost,2,15810,0.5626,0.22570928,,,,,
frost,5,11130,0.5515,0.150045657,,,,,
speckle_noise,3,12499,0.5518,0.157698408,,,,,
speckle_noise,4,9660,0.5377,0.111719256,,,,,
speckle_noise,5,6427,0.5228,0.068344599,,,,,
speckle_noise,2,17943,0.5655,0.250880197,,,,,
speckle_noise,1,19948,0.5696,0.286975803,,,,,
gaussian_noise,2,13836,0.5525,0.186912423,,,,,
gaussian_noise,5,784,0.4489,0.010168622,,,,,
gaussian_noise,1,17981,0.564,0.260157956,,,,,
gaussian_noise,4,3848,0.5079,0.04049815,,,,,
gaussian_noise,3,8450,0.536,0.103168156,,,,,
snow,3,12319,0.5414,0.16320437,,,,,
snow,4,9553,0.5235,0.111765076,,,,,
snow,1,16767,0.5637,0.247219033,,,,,
snow,5,9524,0.529,0.113905742,,,,,
snow,2,11656,0.5453,0.154760404,,,,,
zoom_blur,1,10609,0.555,0.126775365,,,,,
zoom_blur,2,8262,0.537,0.082564009,,,,,
zoom_blur,5,5025,0.5028,0.035516729,,,,,
zoom_blur,4,5675,0.5119,0.043250436,,,,,
zoom_blur,3,6813,0.5256,0.061742347,,,,,
fog,1,20400,0.5758,0.314393111,,,,,
fog,2,19145,0.5764,0.298775384,,,,,
fog,5,16529,0.5691,0.256377031,,,,,
fog,4,18192,0.5689,0.278412138,,,,,
fog,3,18282,0.5706,0.281376064,,,,,
jpeg_compression,5,7105,0.4749,0.065222658,,,,,
jpeg_compression,2,16478,0.5471,0.221990283,,,,,
jpeg_compression,1,19166,0.5647,0.279417082,,,,,
jpeg_compression,3,14596,0.538,0.190383172,,,,,
jpeg_compression,4,10435,0.5106,0.117874261,,,,,
saturate,4,21143,0.5736,0.314245397,,,,,
saturate,3,23313,0.5798,0.350902468,,,,,
saturate,1,22890,0.5806,0.349549642,,,,,
saturate,2,21809,0.5793,0.330376318,,,,,
saturate,5,18921,0.5696,0.274448862,,,,,
pixelate,1,20442,0.5746,0.307274235,,,,,
pixelate,5,2271,0.4692,0.045040925,,,,,
pixelate,2,19686,0.5724,0.293232479,,,,,
pixelate,3,10579,0.543,0.15146198,,,,,
pixelate,4,3785,0.4828,0.066787776,,,,,
elastic_transform,5,12361,0.5457,0.149616071,,,,,
elastic_transform,2,19327,0.5676,0.270698522,,,,,
elastic_transform,1,21038,0.5739,0.308071677,,,,,
elastic_transform,3,16816,0.5562,0.218882124,,,,,
elastic_transform,4,14759,0.5515,0.183893171,,,,,
