Corruption Type,Severity 1,Severity 2,Severity 3,Severity 4,Severity 5
gaussian_noise,0.4945950760291173,0.4492131498726932,0.44365596771240234,0.5681407451629639,0.0
shot_noise,0.46590439336640493,0.43953527013460797,0.39142005890607834,0.3421594500541687,0.0
impulse_noise,0.43858256936073303,0.45021939277648926,0.49128441512584686,0.0,0.0
defocus_blur,0.48197934627532957,0.4681358794371287,0.4339787572622299,0.46085163950920105,0.3706890642642975
glass_blur,0.44996225237846377,0.4185301409317897,0.0,0.0,0.0
motion_blur,0.4534588102251291,0.41649107336997987,0.4507911317050457,0.6366093158721924,0.27142296731472015
zoom_blur,0.3994767392675082,0.36134932935237885,0.36891953150431317,0.31461089849472046,0.0
snow,0.4421305869306837,0.4671540312907275,0.40257927562509266,0.375893235206604,0.3719399625604803
frost,0.4929425101727247,0.43425636887550356,0.43470651261946736,0.4901062734425068,0.45718439186320586
fog,0.49552000270170327,0.5005816439787547,0.4708160428624404,0.45163667400678,0.44170739750067395
brightness,0.513177813518615,0.5057184880688077,0.5039665268527137,0.48421285958851085,0.4421442308846642
contrast,0.4962495267391205,0.4771460820646847,0.4536431338638067,0.5654288232326508,0.35637131333351135
elastic_transform,0.4756887115930256,0.4423832875840804,0.4269515766816981,0.3685296191410585,0.40970805784066516
pixelate,0.4933224730193615,0.37373899267270017,0.0,0.0,0.0
jpeg_compression,0.4526872429996729,0.4472590724627177,0.42456178252513593,0.3453070436205183,0.37669044733047485
speckle_noise,0.4913378885159126,0.44869762659072876,0.40567323565483093,0.37322141726811725,0.27417483925819397
gaussian_blur,0.44024866488244796,0.4966992565563747,0.4343376365991739,0.3904641196131706,0.0
spatter,0.5090641578038534,0.479257607460022,0.4312058786551158,0.3277909585407802,0.29513224959373474
saturate,0.5590050847906816,0.5294037830261957,0.5134786322712899,0.5383730977773666,0.5040560918194907
