Corruption,Confidence_mAP,mAP_Boxes,Boxes_Confidence
brightness,0.9474845855295133,0.9970746536663936,0.9221003103565567
contrast,0.9350231247662296,0.9992007300387759,0.9349839080880726
defocus_blur,0.9692327490014694,0.9963194893558509,0.9496247687277116
elastic_transform,0.9926742669612508,0.9979802050810893,0.9856977148305919
fog,0.9152467572134023,0.9962747831113995,0.8822256212549658
frost,0.9919103733851076,0.9986471092128861,0.9857216477510229
gaussian_blur,0.9690879226483763,0.9978036003060021,0.9579695563317294
gaussian_noise,0.8860142569976706,0.9979976360211553,0.9124965824507442
glass_blur,0.9570921470663812,0.9986204350477382,0.9454085061666597
impulse_noise,0.881472850020197,0.9971257902850108,0.9127985923379575
jpeg_compression,0.9695095531421856,0.9991947645513587,0.9691444740401159
motion_blur,0.9285100302930029,0.9990371972049913,0.9276214825642334
pixelate,0.9563832843712474,0.9992763329538454,0.9646186176592143
saturate,0.9332956861867079,0.987337611946377,0.8720866745875583
shot_noise,0.9142558162118736,0.9977420802065455,0.9381076337090465
snow,0.970895152148392,0.9983182905828198,0.9570272307473076
spatter,0.9846847079733638,0.9993912410717283,0.9795174253505359
speckle_noise,0.9758730969094929,0.9994008364022322,0.9815838832440766
zoom_blur,0.9019606431995058,0.9998182177675246,0.9065544426961806
